date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
24-May,245.99,255.26,243.24,249.48,9929433206,0,249.48,251.76,-0.059,267.07,-0.0215,272.86,0.004,271.77,0.0085,269.46,0.0518,52.96,259.41,263.9,266.58,266.32,266.81,264.27,53.06
25-May,249.69,257.36,249.09,251.76,8924985385,0,251.76,267.07,-0.0215,272.86,0.004,271.77,0.0085,269.46,0.0518,255.86,-0.0468,67.18,269.97,270.57,267.4,271.27,270.5,267.5,58.76
26-May,251.72,269.17,247.25,267.07,9664267731,0,267.07,272.86,0.004,271.77,0.0085,269.46,0.0518,255.86,-0.0468,268.11,0.0102,61.78,272.32,271.36,267.61,271.06,267.13,267.47,60
27-May,267.14,278.51,265.44,272.86,12074664736,1,272.86,271.77,0.0085,269.46,0.0518,255.86,-0.0468,268.11,0.0102,265.39,-0.0181,62.01,270.61,265.69,266.12,264.48,265.93,267,52.59
28-May,272.59,274.32,267.51,271.77,10362846898,1,271.77,269.46,0.0518,255.86,-0.0468,268.11,0.0102,265.39,-0.0181,270.23,0.0674,53.53,262.66,264.48,265.81,263.48,264.39,263.84,45.59
29-May,271.78,273.76,263.09,269.46,9819132174,1,269.46,255.86,-0.0468,268.11,0.0102,265.39,-0.0181,270.23,0.0674,252.61,0.0456,49.86,261.99,263.12,262.44,264.57,265.5,258.8,38.01
30-May,269.55,287.2,247.35,255.86,13604268584,0,255.86,268.11,0.0102,265.39,-0.0181,270.23,0.0674,252.61,0.0456,241.34,-0.0234,51.87,266.75,267.91,259.54,267.87,263.82,257.88,28.11
31-May,256.02,268.66,249.11,268.11,11255023515,1,268.11,265.39,-0.0181,270.23,0.0674,252.61,0.0456,241.34,-0.0234,247.05,-0.0098,48.35,267.81,262.74,255.32,262.21,256.86,254.79,28.75
1-Jun,268.43,273.56,263.52,265.39,9942869852,0,265.39,270.23,0.0674,252.61,0.0456,241.34,-0.0234,247.05,-0.0098,249.47,-0.0058,50.48,261.42,254.72,252.14,251.62,251.64,252.67,29.22
2-Jun,265.51,272.81,265.04,270.23,8744111713,1,270.23,252.61,0.0456,241.34,-0.0234,247.05,-0.0098,249.47,-0.0058,250.93,0.0209,38.3,246.97,247,248.28,245.88,247.29,248.05,21.08
3-Jun,270.09,270.33,251.26,252.61,9375712917,1,252.61,241.34,-0.0234,247.05,-0.0098,249.47,-0.0058,250.93,0.0209,245.74,0.0529,36.96,244.19,245.95,246.91,246.88,247.59,244.47,18.97
4-Jun,252.51,252.51,236.13,241.34,10132549747,0,241.34,247.05,-0.0098,249.47,-0.0058,250.93,0.0209,245.74,0.0529,233.09,-0.0601,37.51,248.26,249.15,245.26,249.57,248.38,245.69,19.51
5-Jun,241.5,248.14,239.98,247.05,8548917062,0,247.05,249.47,-0.0058,250.93,0.0209,245.74,0.0529,233.09,-0.0601,247.52,0.007,37.58,250.2,248.71,245.35,248.56,244.5,245.58,19.94
6-Jun,246.93,249.94,238.5,249.47,8265146806,0,249.47,250.93,0.0209,245.74,0.0529,233.09,-0.0601,247.52,0.007,245.78,-0.0597,30.23,248.33,243.25,244.61,241.72,243.88,247.47,20.16
7-Jun,249.34,254.35,246.6,250.93,8379534528,1,250.93,245.74,0.0529,233.09,-0.0601,247.52,0.007,245.78,-0.0597,260.9,0.0183,23.59,239.41,242.11,246.61,241.39,242.85,248.1,12.24
